cols,rows
20,15
indexX,indexY,left,top,width,height
0,0,48,0,16,16
1,0,48,0,16,16
2,0,48,0,16,16
3,0,48,0,16,16
4,0,48,0,16,16
5,0,48,0,16,16
6,0,48,0,16,16
7,0,48,0,16,16
8,0,48,0,16,16
9,0,48,0,16,16
10,0,48,0,16,16
11,0,48,0,16,16
12,0,48,0,16,16
13,0,48,0,16,16
14,0,48,0,16,16
15,0,48,0,16,16
16,0,48,0,16,16
17,0,48,0,16,16
18,0,48,0,16,16
19,0,48,0,16,16
0,1,48,0,16,16
1,1,48,0,16,16
2,1,48,0,16,16
3,1,48,0,16,16
4,1,48,0,16,16
5,1,48,0,16,16
6,1,48,0,16,16
7,1,48,0,16,16
8,1,16,0,16,16
9,1,16,0,16,16
10,1,16,0,16,16
11,1,16,0,16,16
12,1,16,0,16,16
13,1,16,0,16,16
14,1,48,0,16,16
15,1,48,0,16,16
16,1,48,0,16,16
17,1,48,0,16,16
18,1,48,0,16,16
19,1,48,0,16,16
0,2,48,0,16,16
1,2,48,0,16,16
2,2,48,0,16,16
3,2,48,0,16,16
4,2,48,0,16,16
5,2,48,0,16,16
6,2,48,0,16,16
7,2,48,0,16,16
8,2,48,0,16,16
9,2,48,0,16,16
10,2,48,0,16,16
11,2,48,0,16,16
12,2,48,0,16,16
13,2,48,0,16,16
14,2,16,0,16,16
15,2,16,0,16,16
16,2,48,0,16,16
17,2,48,0,16,16
18,2,48,0,16,16
19,2,48,0,16,16
0,3,48,0,16,16
1,3,48,0,16,16
2,3,48,0,16,16
3,3,48,0,16,16
4,3,48,0,16,16
5,3,48,0,16,16
6,3,48,0,16,16
7,3,48,0,16,16
8,3,48,0,16,16
9,3,48,0,16,16
10,3,48,0,16,16
11,3,48,0,16,16
12,3,48,0,16,16
13,3,48,0,16,16
14,3,48,0,16,16
15,3,16,0,16,16
16,3,48,0,16,16
17,3,48,0,16,16
18,3,48,0,16,16
19,3,48,0,16,16
0,4,48,0,16,16
1,4,48,0,16,16
2,4,48,0,16,16
